time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
89.0,-0.011252352269366384,0.0,0.0003023249009856954,0.0,0.2473919689655304,0.0,0.07816189527511597,0.0,0.7927953004837036,0.0,0.2680225074291229,0.0,0.3650563657283783,0.0,0.33154296875,0.0,100.81884765625,0.0
90.0,-0.010472048074007034,0.0,0.00030635460279881954,0.0,0.25120094418525696,0.0,0.08231233060359955,0.0,0.8042382597923279,0.0,0.2640860974788666,0.0,0.36211735010147095,0.0,0.34228515625,0.0,100.8291015625,0.0
91.0,-0.009741185582242906,0.0,0.0003094533603871241,0.0,0.2551489770412445,0.0,0.08618618547916412,0.0,0.8149080872535706,0.0,0.26033666729927063,0.0,0.35911157727241516,0.0,0.35205078125,0.0,100.838623046875,0.0
92.0,-0.00905702670570463,0.0,0.00031172130184131674,0.0,0.25920356810092926,0.0,0.08982077240943909,0.0,0.824837327003479,0.0,0.2567771375179291,0.0,0.3560664653778076,0.0,0.361328125,0.0,100.847412109375,0.0
93.0,-0.008416975499130785,0.0,0.0003132576857751701,0.0,0.2633339911699295,0.0,0.09324892610311508,0.0,0.8340597152709961,0.0,0.2534083425998688,0.0,0.3530064821243286,0.0,0.369873046875,0.0,100.855224609375,0.0
94.0,-0.00781856570392847,0.0,0.00031415806006407365,0.0,0.2675115466117859,0.0,0.09649930894374847,0.0,0.8426096439361572,0.0,0.25022944808006287,0.0,0.349953293800354,0.0,0.377685546875,0.0,100.86279296875,0.0
95.0,-0.007259454054292291,0.0,0.000314512293698499,0.0,0.2717098891735077,0.0,0.09959661215543747,0.0,0.8505215644836426,0.0,0.24723826348781586,0.0,0.3469258248806,0.0,0.385009765625,0.0,100.869140625,0.0
96.0,-0.006737409625202417,0.0,0.00031440332895726897,0.0,0.27590523660182953,0.0,0.10256192833185196,0.0,0.8578300476074219,0.0,0.24443142116069794,0.0,0.34394046664237976,0.0,0.391845703125,0.0,100.875244140625,0.0
97.0,-0.006250306498259306,0.0,0.0003139065011055209,0.0,0.28007636964321136,0.0,0.10541319102048874,0.0,0.8645692467689514,0.0,0.2418045997619629,0.0,0.34101125597953796,0.0,0.39794921875,0.0,100.880859375,0.0
98.0,-0.005796118057332933,0.0,0.0003130893855995964,0.0,0.28420451283454895,0.0,0.10816541314125061,0.0,0.8707727193832397,0.0,0.239352747797966,0.0,0.3381500244140625,0.0,0.40380859375,0.0,100.8857421875,0.0
99.0,-0.005372910527512431,0.0,0.0003120119326922577,0.0,0.288273349404335,0.0,0.110831119120121,0.0,0.8764733076095581,0.0,0.23707015812397003,0.0,0.3353665769100189,0.0,0.408935546875,0.0,100.889892578125,0.0
100.0,-0.00497883852222003,0.0,0.00031072676938492805,0.0,0.29226887226104736,0.0,0.11342064291238785,0.0,0.8817028999328613,0.0,0.23495066165924072,0.0,0.33266887068748474,0.0,0.41357421875,0.0,100.893798828125,0.0
101.0,-0.004612139106029645,0.0,0.0003092796905548312,0.0,0.29617932438850403,0.0,0.11594240367412567,0.0,0.8864924311637878,0.0,0.2329876571893692,0.0,0.33006322383880615,0.0,0.417724609375,0.0,100.897216796875,0.0
